"Story","Title","Result","Date","Stability","Duration (s)"
"Register of user","successful user registration","PENDING","2023-07-24T17:15:38.3577399-05:00[America/Bogota]","0.0","0.21"
"Register of user","successful user registration","SUCCESS","2023-07-25T15:10:55.806208-05:00[America/Bogota]","0.0","43.1"
